ecologicalgroup,include
ACAR,FALSE
ACRI,FALSE
ALGA,FALSE
ANAC,FALSE
ANIM,FALSE
AQBR,FALSE
AQVP,FALSE
ARTH,FALSE
BIOM,FALSE
BRYZ,FALSE
CHAR,FALSE
CHRM,FALSE
CLAD,FALSE
COLE,FALSE
COPE,FALSE
DIAT,FALSE
DINO,FALSE
DIPT,FALSE
ELEM,FALSE
EMBR,FALSE
FLWO,FALSE
FORM,FALSE
FUNG,FALSE
GPOD,FALSE
INSE,FALSE
LABO,FALSE
LEPI,FALSE
MANG,TRUE
MNRL,FALSE
NEMA,FALSE
PALM,TRUE
PLNT,TRUE
PLOI,FALSE
PROT,FALSE
PSED,FALSE
PTER,FALSE
ROTI,FALSE
SEED,FALSE
SPNG,FALSE
SUCC,TRUE
TEAM,FALSE
TRSH,TRUE
UNID,FALSE
UPBR,FALSE
UPHE,FALSE
VACR,FALSE
VASC,TRUE
NA,FALSE
