sel_name,manual_name
mimosoid clade,Fabaceae
epacrideae,Ericaceae
epacrideae undiff,Ericaceae
ericoideae,Ericaceae
gardenieae,Rubiaceae
hippocastanoideae,Sapindaceae
hippocastanoideae undiff,Sapindaceae
mimosoid clade 16 minus porate scabrate,Fabaceae
mimosoid clade 16 minus porate verrucate,Fabaceae
mimosoid clade 8 minus porate,Fabaceae
mimosoid clade indeterminable,Fabaceae
mimosoid clade polyad,Fabaceae
mimosoid clade polyad 16,Fabaceae
mimosoid clade polyad 8,Fabaceae
mimosoid clade scabrate,Fabaceae
mimosoid clade tetrad,Fabaceae
mimosoid clade tetraporate psilate small,Fabaceae
mimosoid clade i,Fabaceae
mimosoid clade i small,Fabaceae
mimosoid clade ii,Fabaceae
mimosoid clade ii acacia,Fabaceae
mimosoid clade ii large,Fabaceae
mimosoid clade undiff,Fabaceae
myrsinoideae undiff,Primulaceae
normapolles,Juglandaceae
periplocoideae,Apocynaceae
sample id,
spermatophyta undiff andean trees,Tracheophyta
spermatophyta undiff deciduous trees,Tracheophyta
spermatophyta undiff dry forest trees shrubs,Tracheophyta
spermatophyta undiff lowland forest trees,Tracheophyta
spermatophyta undiff montane forest trees,Tracheophyta
spermatophyta undiff shrubs,Tracheophyta
spermatophyta undiff trees,Tracheophyta
spermatophyta undiff trees shrubs,Tracheophyta
sterculioideae,Malvaceae
sterculioideae undiff,Malvaceae
tilioideae,Malvaceae
tilioideae 1,Malvaceae
tilioideae 32,Malvaceae
tilioideae apeiba,Malvaceae
tilioideae undiff,Malvaceae
urticalean rosids,Cannabaceae
urticalean rosids undiff,Cannabaceae
visceae arceuthobium,Santalaceae
agavoideae,Asparagaceae
amygdaloideae,Rosaceae
arecaceae incertae sedis,Arecaceae
bombacoideae,Malvaceae
bombacoideae undiff,Malvaceae
caesalpinioideae,Fabaceae
caesalpinioideae 18 mu m,Fabaceae
caesalpinioideae 26 mu m,Fabaceae
caesalpinioideae 22,Fabaceae
caesalpinioideae senna,Fabaceae
caesalpinioideae undiff,Fabaceae
